specno	time	lat	long	relaz	sza	no2zendscd	no2offdscd	o4zen	o4off	rmszen	amf120	amf180	sig120	sig180	RAMF	RGA	VCBira	VCWagAMF	VCWagGA	errTot
5 	1.329056e+01 	5.078809e+01 	4.331728e+00 	1.918945e+01 	5.314254e+01 	-9418200000000000 	-4846555361654761 	-3.342100e+41 	5.610711e+42 	4.180500e-04 	2.169327e+00 	1.394725e+00 	5.870644e-02 	1.351243e-01 	14277651774539408 	13436079272569776 	3263985914695674 	3.484164e+15 	4017879272569776 	6.548079e+14 
6 	1.329917e+01 	5.078734e+01 	4.328197e+00 	3.929908e+01 	5.318531e+01 	-7881100000000000 	-4923272148191395 	-2.769000e+41 	5.439755e+42 	4.098700e-04 	2.283698e+00 	1.395183e+00 	8.872716e-02 	1.352780e-01 	14253147880335928 	13408328920376848 	4.374251e+15 	4567177582191171 	5527228920376848 	6.479782e+14 
7 	1.330778e+01 	5.078662e+01 	4.324714e+00 	3.953692e+01 	5.322688e+01 	-8589500000000000 	-5417688562238582 	-3.867200e+41 	5.421553e+42 	4.250100e-04 	2.285679e+00 	1.395628e+00 	8.928803e-02 	1.354274e-01 	14228643986132456 	13380578568183920 	3.888692e+15 	4.040579e+15 	4791078568183920 	6.641963e+14 
8 	1.331639e+01 	5.078589e+01 	4.321156e+00 	3.940033e+01 	5.326861e+01 	-8475700000000000 	-5206484051441585 	-3.008300e+41 	5.115428e+42 	4.203700e-04 	2.284959e+00 	1.396074e+00 	8.911583e-02 	1.355774e-01 	14204140091928976 	13352828215991000 	4083922541925887 	4.103249e+15 	4877128215991000 	6.673459e+14 
9 	1.332500e+01 	5.078550e+01 	4.319174e+00 	4.044167e+01 	5.331081e+01 	-7914300000000000 	-5682293347143623 	-4.880500e+40 	5.488350e+42 	4.337400e-04 	2.292745e+00 	1.396526e+00 	9.125213e-02 	1.357291e-01 	14179636197725496 	13325077863798072 	4.442106e+15 	4486373755790840 	5410777863798072 	6.826305e+14 
10 	1.333361e+01 	5.078548e+01 	4.318410e+00 	5.405915e+01 	5.335491e+01 	-9514000000000000 	-3.234411e+15 	-4.642900e+41 	1.273429e+43 	4.157000e-04 	2.391349e+00 	1.396998e+00 	1.180288e-01 	1.358875e-01 	14155132303522016 	13297327511605144 	3.231479e+15 	3322219439687897 	3783327511605144 	6.681567e+14 
11 	1.334222e+01 	5.078725e+01 	4.317339e+00 	1.261729e+02 	5.340070e+01 	-8652900000000000 	-3524739125061381 	-8.998600e+40 	1.094529e+43 	4.005700e-04 	2.752649e+00 	1.397487e+00 	2.216352e-01 	1.360521e-01 	14130628409318536 	13269577159412216 	3787333450667277 	3.919698e+15 	4616677159412216 	6.501390e+14 
12 	1.335083e+01 	5.078776e+01 	4.316258e+00 	9.373082e+01 	5.344560e+01 	-9177400000000000 	-2.988394e+15 	-2.079800e+41 	1.128542e+43 	4.156100e-04 	3.043965e+00 	1.397968e+00 	3.038159e-01 	1.362135e-01 	14106124515115056 	13241826807219288 	3360260681682818 	3525634865545749 	4064426807219288 	6.693152e+14 
13 	1.335944e+01 	5.078805e+01 	4.315310e+00 	8.258208e+01 	5.348906e+01 	-7743400000000000 	-2729094587086957 	3.216300e+40 	1.148710e+43 	4.269900e-04 	2.926921e+00 	1.398433e+00 	2.703876e-01 	1.363697e-01 	14081620620911576 	13214076455026360 	4376940957942338 	4532373721717129 	5470676455026360 	6.805985e+14 
14 	1.336806e+01 	5.078988e+01 	4.310999e+00 	9.047353e+01 	5.353397e+01 	-8157500000000000 	-4.331876e+15 	1.023200e+41 	1.097429e+43 	4.191300e-04 	3.084084e+00 	1.398913e+00 	3.153569e-01 	1.365311e-01 	14057113881057864 	13186322880170304 	4.104191e+15 	4.217283e+15 	5028822880170304 	6.770392e+14 
15 	1.337667e+01 	5.079150e+01 	4.308127e+00 	9.831908e+01 	5.358032e+01 	-9397200000000000 	-3847287344255913 	2.518400e+41 	1.140294e+43 	4.169200e-04 	2.993364e+00 	1.399409e+00 	2.896835e-01 	1.366977e-01 	14032609986854384 	13158572527977376 	3239101949686020 	3.312404e+15 	3761372527977376 	6.850226e+14 
16 	1.338528e+01 	5.079175e+01 	4.307671e+00 	9.654507e+01 	5.362570e+01 	-8864600000000000 	-4132179317549326 	8.799300e+40 	1.272548e+43 	4.245200e-04 	3.015121e+00 	1.399895e+00 	2.959352e-01 	1.368608e-01 	14008106092650904 	13130822175784456 	3684241764488246 	3.674208e+15 	4266222175784456 	6.937165e+14 
17 	1.339389e+01 	5.079186e+01 	4.307572e+00 	1.175818e+02 	5.367115e+01 	-9905500000000000 	-4.463938e+15 	-2.188300e+41 	1.279296e+43 	4.139000e-04 	2.768490e+00 	1.400381e+00 	2.258563e-01 	1.370241e-01 	13983602198447424 	13103071823591528 	2860941564654078 	2.912137e+15 	3197571823591528 	6.942468e+14 
18 	1.340250e+01 	5.079184e+01 	4.307576e+00 	4.117351e+01 	5.371667e+01 	-8222600000000000 	-3.024434e+15 	2.513400e+41 	1.288485e+43 	4.121900e-04 	2.300622e+00 	1.400868e+00 	9.361424e-02 	1.371877e-01 	13959098304243944 	13075321471398600 	4.012688e+15 	4094958897509424 	4852721471398600 	676796183798923 
19 	1.341111e+01 	5.079245e+01 	4.307304e+00 	1.299719e+02 	5.376288e+01 	-8133000000000000 	-3296333797458521 	-2.264700e+41 	1.080490e+43 	4.041100e-04 	2.762700e+00 	1.401363e+00 	2.248617e-01 	1.373538e-01 	13934594410040464 	13047571119205672 	4.103002e+15 	4.139966e+15 	4914571119205672 	6.708760e+14 
20 	1.341972e+01 	5.079520e+01 	4.304664e+00 	1.145305e+02 	5.380956e+01 	-8833900000000000 	-4104237260135965 	2.187900e+41 	1.306479e+43 	4.121800e-04 	2.805821e+00 	1.401862e+00 	2.365528e-01 	1.375215e-01 	13910090515836984 	13019820767012744 	3565157235522207 	3621033776663058 	4185920767012744 	6.822038e+14 
21 	1.342833e+01 	5.080045e+01 	4.307324e+00 	1.633572e+02 	5.386142e+01 	-9476200000000000 	-5153001229827113 	6.386200e+40 	1.279354e+43 	4.110300e-04 	2.796349e+00 	1.402417e+00 	2.370920e-01 	1.377080e-01 	13885586621633504 	12992070414819816 	3061264937140961 	3144133267342879 	3515870414819816 	686811463616134 
22 	1.343694e+01 	5.080562e+01 	4.303965e+00 	1.231313e+02 	5.391041e+01 	-10179000000000000 	-5600091814535094 	-2.705200e+41 	1.236956e+43 	4.036400e-04 	2.748408e+00 	1.402941e+00 	2.204097e-01 	1.378840e-01 	13861082727430024 	12964320062626888 	2514837563191997 	2624544886408810 	2785320062626888 	6.897288e+14 
23 	1.344556e+01 	5.081108e+01 	4.298033e+00 	1.108522e+02 	5.395829e+01 	-9225900000000000 	-5617621441930132 	2.391700e+41 	1.082833e+43 	3.890300e-04 	2.851303e+00 	1.403454e+00 	2.496342e-01 	1.380561e-01 	13836575987576312 	12936566487770832 	3.164800e+15 	3.285235e+15 	3710666487770832 	6.613762e+14 
24 	1.345417e+01 	5.081491e+01 	4.289102e+00 	8.936411e+01 	5.400497e+01 	-9094600000000000 	-5558807026762578 	1.048600e+41 	1.223015e+43 	3.819700e-04 	3.087652e+00 	1.403953e+00 	3.172642e-01 	1.382239e-01 	13812072093372832 	12908816135577904 	3.248085e+15 	3.360135e+15 	3814216135577904 	6.525950e+14 
25 	1.346278e+01 	5.082092e+01 	4.282675e+00 	1.109797e+02 	5.405509e+01 	-9680900000000000 	-5113781319931715 	1.908500e+41 	1.332570e+43 	3.931300e-04 	2.850986e+00 	1.404489e+00 	2.496161e-01 	1.384040e-01 	13787568199169352 	12881065783384976 	2829687881287074 	2.923958e+15 	3200165783384976 	670088301706458 
