specno	time	lat	long	relaz	sza	no2zendscd	no2offdscd	o4zen	o4off	rmszen	amf120	amf180	sig120	sig180	RAMF	RGA	VCBira	VCWagAMF	VCWagGA	errTot
4 	9.181944e+00 	5.079706e+01 	4.357387e+00 	6.099651e+00 	5.790812e+01 	-7577500000000000 	2626873378107736 	2.270000e+42 	1.784727e+42 	5.240200e-04 	2.139256e+00 	1.445717e+00 	5.309059e-02 	1.522518e-01 	15892608092419632 	14211684677658400 	5627878841188799 	5751546686620271 	6634184677658400 	9.255140e+14 
5 	9.190556e+00 	5.079707e+01 	4.357374e+00 	1.763902e+02 	5.785106e+01 	-7480300000000000 	2.144677e+15 	2.247600e+42 	1.925130e+42 	5.226100e-04 	2.764229e+00 	1.445106e+00 	2.324922e-01 	1.520467e-01 	15896308132414130 	14218804799019352 	5698028252217608 	5823798446868546 	6738504799019352 	9.216475e+14 
6 	9.199167e+00 	5.079704e+01 	4.357357e+00 	6.569395e+01 	5.779412e+01 	-6600600000000000 	2872510577624376 	1.784900e+42 	2.349497e+42 	5.295200e-04 	2.603451e+00 	1.444497e+00 	1.810316e-01 	1.518421e-01 	15900007742770912 	14225924093612844 	6295457823251966 	6437817045413184 	7625324093612844 	920502398897343 
7 	9.207778e+00 	5.079715e+01 	4.357317e+00 	1.498091e+02 	5.773741e+01 	-6353400000000000 	1.595637e+15 	1.383100e+42 	2.181469e+42 	5.247600e-04 	2.790661e+00 	1.443890e+00 	2.370420e-01 	1.516382e-01 	15903707353127692 	14233043388206336 	6502732980970415 	6614288946627125 	7879643388206336 	9.157049e+14 
8 	9.216389e+00 	5.079715e+01 	4.357395e+00 	5.054974e+01 	5.768077e+01 	-4571500000000000 	4524974232295286 	1.037500e+42 	9.270843e+42 	5.317000e-04 	2.394296e+00 	1.443284e+00 	1.211095e-01 	1.514347e-01 	15907406963484476 	14240162682799830 	7761773470146435 	7854244502455306 	9668662682799830 	930936823301582 
9 	9.225000e+00 	5.079709e+01 	4.357433e+00 	2.216987e+01 	5.762422e+01 	-5623300000000000 	4397061801496718 	1.786200e+42 	1.242693e+43 	5.273100e-04 	2.209259e+00 	1.442679e+00 	7.141831e-02 	1.512314e-01 	15911106573841258 	14247281977393324 	7071664416698785 	7131042700394779 	8623981977393324 	9.210489e+14 
10 	9.233611e+00 	5.079863e+01 	4.358124e+00 	1.206388e+02 	5.756898e+01 	-6783100000000000 	5558353895287175 	2.224400e+42 	1.236616e+43 	5.006600e-04 	2.767026e+00 	1.442088e+00 	2.264979e-01 	1.510329e-01 	15914806184198040 	14254401271986816 	6335918330162496 	6332280584047656 	7471301271986816 	8.997612e+14 
11 	9.242222e+00 	5.079980e+01 	4.359001e+00 	1.110719e+02 	5.751179e+01 	-5985400000000000 	6164797387284640 	2.310200e+42 	7.450984e+42 	5.638800e-04 	2.892772e+00 	1.441476e+00 	2.641354e-01 	1.508274e-01 	15918505794554822 	14261520566580308 	6950577804438686 	6890925998984036 	8276120566580308 	9.563979e+14 
12 	9.250833e+00 	5.079823e+01 	4.356034e+00 	9.335060e+01 	5.745639e+01 	-4330100000000000 	7228694944720599 	2.796500e+42 	1.312939e+43 	5.242900e-04 	3.142886e+00 	1.440883e+00 	3.390806e-01 	1.506283e-01 	15922205404911604 	14268639861173800 	7994553741680678 	8045137880088233 	9938539861173800 	9.301236e+14 
13 	9.259444e+00 	5.079723e+01 	4.351971e+00 	1.120617e+02 	5.740154e+01 	-1885500000000000 	8701362443768030 	3.809700e+42 	1.386241e+43 	5.123800e-04 	2.877429e+00 	1.440296e+00 	2.594756e-01 	1.504311e-01 	15925905015268386 	14275759155767294 	9645885531117340 	9748274430056612 	12390259155767294 	9.637430e+14 
14 	9.268056e+00 	5.079626e+01 	4.348091e+00 	1.114119e+02 	5.734683e+01 	-4744400000000000 	9691849451164484 	2.700200e+42 	9.864069e+42 	5.380400e-04 	2.885937e+00 	1.439711e+00 	2.619938e-01 	1.502345e-01 	15929605055262882 	14282879277128244 	7835358645820554 	7769062338967890 	9538479277128244 	9.492455e+14 
15 	9.276667e+00 	5.079573e+01 	4.346537e+00 	1.047271e+02 	5.729079e+01 	-5453600000000000 	8521307980087375 	2.834100e+42 	1.300882e+43 	5.230900e-04 	2.979163e+00 	1.439111e+00 	2.898563e-01 	1.500331e-01 	15933304665619664 	14289998571721738 	7346644324266000 	7282066166320671 	8836398571721738 	934914075275510 
16 	9.285278e+00 	5.079517e+01 	4.344623e+00 	1.079012e+02 	5.723665e+01 	-2970800000000000 	8242734532796015 	3.142300e+42 	1.461486e+43 	4.942000e-04 	2.933793e+00 	1.438532e+00 	2.762416e-01 	1.498385e-01 	15937004275976446 	14297117866315232 	9040868705494066 	9013496179435508 	11326317866315232 	9.403783e+14 
17 	9.293889e+00 	5.079423e+01 	4.340868e+00 	1.109105e+02 	5.718237e+01 	-3848800000000000 	7556170863615909 	3.150500e+42 	1.314155e+43 	5.015100e-04 	2.890940e+00 	1.437951e+00 	2.633956e-01 	1.496434e-01 	15940703886333228 	14304237160908724 	8450629351432818 	8409119043272137 	10455437160908724 	9.355732e+14 
18 	9.302500e+00 	5.079278e+01 	4.337918e+00 	9.464878e+01 	5.712784e+01 	-3062700000000000 	8140840233564573 	3.770800e+42 	1.309381e+43 	5.093700e-04 	3.117041e+00 	1.437368e+00 	3.308877e-01 	1.494475e-01 	15944403496690010 	14311356455502216 	8972539704449821 	8962008485477962 	11248656455502216 	9.539866e+14 
19 	9.311111e+00 	5.079137e+01 	4.334740e+00 	9.735153e+01 	5.707171e+01 	-4137700000000000 	5585701553801899 	2.881600e+42 	1.086682e+43 	5.189200e-04 	3.078168e+00 	1.436767e+00 	3.192082e-01 	1.492457e-01 	15948103107046792 	14318475750095708 	8261624901751152 	8220122567946656 	10180775750095708 	9.507002e+14 
20 	9.319722e+00 	5.079060e+01 	4.333204e+00 	9.364992e+01 	5.701796e+01 	-4668100000000000 	9321484698517016 	2.755700e+42 	1.171899e+43 	5.167200e-04 	3.128402e+00 	1.436192e+00 	3.341238e-01 	1.490525e-01 	15951802717403574 	14325595044689202 	7889631482640279 	7856680573618936 	9657495044689202 	9.448811e+14 
21 	9.328333e+00 	5.078843e+01 	4.332858e+00 	4.788031e+01 	5.696154e+01 	-1759100000000000 	6802123051201750 	4.882300e+42 	1.304322e+43 	5.022300e-04 	2.370165e+00 	1.435588e+00 	1.142111e-01 	1.488498e-01 	15955502327760356 	14332714339282696 	9912393354011262 	9888907960266002 	12573614339282696 	978282829692498 
22 	9.336944e+00 	5.078796e+01 	4.331105e+00 	1.090016e+02 	5.690653e+01 	-3716900000000000 	6836173576864747 	2.416300e+42 	1.113310e+43 	4.951800e-04 	2.913845e+00 	1.435000e+00 	2.700519e-01 	1.486521e-01 	15959201938117138 	14339833633876188 	8528300890362256 	8531221947780587 	10622933633876188 	9.364692e+14 
23 	9.345556e+00 	5.078796e+01 	4.331146e+00 	4.818443e+01 	5.685201e+01 	-4328600000000000 	6953515458784507 	2.806700e+42 	1.282602e+43 	4.927700e-04 	2.371666e+00 	1.434416e+00 	1.145567e-01 	1.484561e-01 	15962901978111634 	14346953755237140 	8084763053927192 	8110825678380972 	10018353755237140 	9.262331e+14 
24 	9.354167e+00 	5.078795e+01 	4.331098e+00 	1.108874e+02 	5.679763e+01 	-3876700000000000 	6604701526483962 	2.565400e+42 	1.296408e+43 	5.100800e-04 	2.886445e+00 	1.433835e+00 	2.618243e-01 	1.482607e-01 	15966601588468416 	14354073049830632 	8404068617795792 	8431866146348986 	10477373049830632 	945092527942771 
25 	9.362778e+00 	5.078725e+01 	4.327746e+00 	1.132165e+02 	5.674463e+01 	-5687500000000000 	4526488826077752 	2.990600e+42 	1.266550e+43 	5.087100e-04 	2.853862e+00 	1.433268e+00 	2.521050e-01 	1.480702e-01 	15970301198825198 	14361192344424124 	7129957672690939 	7174376770705687 	8673692344424124 	9.298160e+14 
26 	9.371389e+00 	5.078627e+01 	4.322885e+00 	1.136504e+02 	5.669156e+01 	-2863100000000000 	4465499786384269 	4.230900e+42 	9.985866e+42 	4.994900e-04 	2.847343e+00 	1.432700e+00 	2.501416e-01 	1.478794e-01 	15974000809181980 	14368311639017616 	9067374689517698 	9151185954725834 	11505211639017616 	9.481611e+14 
27 	9.380000e+00 	5.078555e+01 	4.319199e+00 	1.142509e+02 	5.663882e+01 	-4418500000000000 	3713490167088430 	2.045900e+42 	1.293985e+43 	4.830700e-04 	2.838584e+00 	1.432135e+00 	2.475158e-01 	1.476899e-01 	15977700419538762 	14375430933611110 	7991395313318093 	8071304191396122 	9956930933611110 	9.135567e+14 
28 	9.388611e+00 	5.078704e+01 	4.317375e+00 	1.766492e+02 	5.658615e+01 	-4845700000000000 	3.381818e+15 	2.387700e+42 	1.545591e+43 	5.092100e-04 	2.771008e+00 	1.431572e+00 	2.334183e-01 	1.475006e-01 	15981400029895544 	14382550228204600 	7694309931103608 	7778652625951093 	9536850228204600 	9.303551e+14 
29 	9.397222e+00 	5.078747e+01 	4.316792e+00 	1.797532e+02 	5.653457e+01 	-6117000000000000 	2485128234809649 	2.976000e+42 	1.532819e+43 	5.089600e-04 	2.768452e+00 	1.431020e+00 	2.329757e-01 	1.473152e-01 	15985099640252326 	14389669522798094 	6800734239416590 	6895850850655107 	8272669522798094 	9.238424e+14 
30 	9.405833e+00 	5.078795e+01 	4.315526e+00 	1.616369e+02 	5.648144e+01 	-5967100000000000 	2.891856e+15 	2.856200e+42 	1.292129e+43 	5.091400e-04 	2.785297e+00 	1.430451e+00 	2.358195e-01 	1.471243e-01 	15988799250609108 	14396788817391588 	6905003423661712 	7005969720160609 	8429688817391588 	9.223132e+14 
31 	9.414444e+00 	5.078965e+01 	4.311404e+00 	1.639128e+02 	5.643111e+01 	-5088600000000000 	2.971015e+15 	2.252200e+42 	7.644392e+42 	4.986600e-04 	2.783463e+00 	1.429913e+00 	2.354976e-01 	1.469434e-01 	15992498860965890 	14403908111985080 	7502217795718057 	7625568402373357 	9315308111985080 	9.149080e+14 
32 	9.423056e+00 	5.079127e+01 	4.308506e+00 	1.721450e+02 	5.638088e+01 	-2880400000000000 	2360829976372053 	3.874100e+42 	8.684646e+42 	5.026500e-04 	2.776237e+00 	1.429375e+00 	2.342660e-01 	1.467629e-01 	15996198900960388 	14411028233346032 	9053852675287680 	9175895323714332 	11530628233346032 	9.451942e+14 
33 	9.431667e+00 	5.079274e+01 	4.305972e+00 	1.728837e+02 	5.632896e+01 	-3305900000000000 	2.450501e+15 	4.043700e+42 	8.944409e+42 	4.822700e-04 	2.775845e+00 	1.428820e+00 	2.341900e-01 	1.465763e-01 	15999898511317168 	14418147527939524 	8770079199391693 	8884254093368127 	11112247527939524 	9.213279e+14 
34 	9.440278e+00 	5.079765e+01 	4.305335e+00 	1.444053e+02 	5.627982e+01 	-6535700000000000 	9.230863e+14 	2.998500e+42 	1.284375e+43 	4.873400e-04 	2.789468e+00 	1.428294e+00 	2.350433e-01 	1.463997e-01 	16003598121673950 	14425266822533016 	6518857826811470 	6628815707459329 	7889566822533016 	9.001117e+14 
35 	9.448889e+00 	5.080188e+01 	4.307085e+00 	1.252145e+02 	5.623034e+01 	-7492200000000000 	3848255472886820 	2.775800e+42 	1.098549e+43 	4.951500e-04 	2.764277e+00 	1.427765e+00 	2.258434e-01 	1.462218e-01 	16007297732030732 	14432386117126508 	5842332367935158 	5963936610569601 	6940186117126508 	9.090618e+14 
36 	9.457500e+00 	5.080619e+01 	4.303492e+00 	1.677904e+02 	5.618277e+01 	-8313500000000000 	-1.591408e+15 	2.307200e+42 	1.225297e+43 	4.824000e-04 	2.781192e+00 	1.427256e+00 	2.350615e-01 	1.460509e-01 	16010997342387514 	14439505411720002 	5230973515237285 	5393215413709004 	6126005411720002 	9.029056e+14 
37 	9.466111e+00 	5.081101e+01 	4.298126e+00 	1.752239e+02 	5.613577e+01 	-6823500000000000 	-1.713237e+15 	2.586600e+42 	1.380079e+43 	4.969000e-04 	2.774787e+00 	1.426753e+00 	2.339776e-01 	1.458819e-01 	16014696952744296 	14446624706313496 	6275138721197532 	6442039260408777 	7623124706313496 	9.028323e+14 
38 	9.474722e+00 	5.081430e+01 	4.290080e+00 	1.626022e+02 	5.608942e+01 	-7171900000000000 	-3733444142333213 	6.748000e+42 	1.406731e+43 	4.956400e-04 	2.786287e+00 	1.426257e+00 	2.358964e-01 	1.457154e-01 	16018396563101078 	14453744000906988 	6030227955122654 	6202597456096294 	7281844000906988 	9.017287e+14 
39 	9.483333e+00 	5.081901e+01 	4.284741e+00 	1.760076e+02 	5.604263e+01 	-9142100000000000 	-3215362594783074 	1.987700e+42 	1.134305e+43 	4.876200e-04 	2.774602e+00 	1.425756e+00 	2.339308e-01 	1.455472e-01 	16022096173457860 	14460863295500480 	4658644464852458 	4825506773176331 	5318763295500480 	9.132029e+14 
40 	9.491944e+00 	5.082427e+01 	4.280683e+00 	1.665092e+02 	5.599644e+01 	-9495200000000000 	-1895532868822990 	2.911900e+42 	1.234161e+43 	4.862600e-04 	2.783271e+00 	1.425262e+00 	2.353718e-01 	1.453812e-01 	16025795783814642 	14467982590093972 	4406849623055262 	4582032044868836 	4972782590093972 	915360129890121 
41 	9.500556e+00 	5.082972e+01 	4.280944e+00 	1.389579e+02 	5.594888e+01 	-8160600000000000 	-1.197212e+15 	2.152400e+42 	1.434590e+43 	5.006700e-04 	2.782410e+00 	1.424753e+00 	2.322753e-01 	1.452103e-01 	16029495823809138 	14475102711454924 	5358828862306846 	5522989330255376 	6314502711454924 	9.081326e+14 
42 	9.509167e+00 	5.083554e+01 	4.282272e+00 	1.326436e+02 	5.590179e+01 	-10498000000000000 	-4577624530523069 	2.456600e+42 	1.285280e+43 	4.823500e-04 	2.773341e+00 	1.424249e+00 	2.290448e-01 	1.450410e-01 	16033195434165920 	14482222006048416 	3799578940616207 	3.886395e+15 	3984222006048416 	9.327453e+14 
43 	9.517778e+00 	5.084272e+01 	4.282889e+00 	1.378757e+02 	5.585594e+01 	-8867400000000000 	-1.957798e+15 	2.834400e+42 	1.220740e+43 	5.010700e-04 	2.780844e+00 	1.423759e+00 	2.316710e-01 	1.448762e-01 	16036895044522704 	14489341300641910 	5006947623997220 	5035611705202397 	5621941300641910 	9.219841e+14 
44 	9.526389e+00 	5.084952e+01 	4.276660e+00 	1.711761e+02 	5.581161e+01 	-8102700000000000 	-3.229524e+15 	3.125500e+42 	1.590779e+43 	4.879300e-04 	2.780108e+00 	1.423284e+00 	2.348091e-01 	1.447169e-01 	16040594654879484 	14496460595235404 	5544841620623603 	5577167584868826 	6393760595235404 	9.004714e+14 
45 	9.535000e+00 	5.085761e+01 	4.272306e+00 	1.600288e+02 	5.576846e+01 	-9023400000000000 	-5940516195480594 	2.932400e+42 	1.096481e+43 	4.769500e-04 	2.790067e+00 	1.422823e+00 	2.364546e-01 	1.445619e-01 	16044294265236268 	14503579889828896 	4899435732104755 	4934483393593169 	5480179889828896 	8.992546e+14 
46 	9.543611e+00 	5.086618e+01 	4.270317e+00 	1.497424e+02 	5.572587e+01 	-9404500000000000 	-5108151027327296 	3.163500e+42 	1.079289e+43 	4.789000e-04 	2.798609e+00 	1.422367e+00 	2.377907e-01 	1.444088e-01 	16047993875593048 	14510699184422388 	4639972034765011 	4670731933186143 	5106199184422388 	9.050706e+14 
47 	9.552222e+00 	5.087388e+01 	4.271665e+00 	1.352529e+02 	5.567949e+01 	-9946200000000000 	-3855345468043727 	2.294300e+42 	6.775169e+42 	4.814300e-04 	2.776808e+00 	1.421871e+00 	2.301766e-01 	1.442421e-01 	16051693485949832 	14517818479015880 	4257961407845953 	4.293987e+15 	4571618479015880 	913706201549479 
